date,rolling_return,rolling_volatility,rolling_correlation,regime_cluster,regime,dataset
2024-02-01,3.219463727186988e-05,0.16418755079739414,0.24149167179988912,0,Defensive,train
2024-02-02,0.0003289471758664009,0.1625573701463055,0.23412326931126767,0,Defensive,train
2024-02-05,0.0009800029094991585,0.1613387111706147,0.2454930228902464,2,Calm,train
2024-02-06,0.0005350922021374678,0.16240172980738327,0.2503775339228013,0,Defensive,train
2024-02-07,0.0007300394713723795,0.16480036116565766,0.238092114118193,2,Calm,train
2024-02-08,0.001314720167525086,0.15740460434153722,0.1899161417031167,2,Calm,train
2024-02-09,0.0010240999663596521,0.15903885653209765,0.1832118544388885,2,Calm,train
2024-02-12,0.0011431335075820258,0.15986471111754932,0.1834857003689768,2,Calm,train
2024-02-13,0.0006879354253070739,0.16449564886982154,0.20211061586322648,2,Calm,train
2024-02-14,-8.329959487923789e-05,0.14483005375354435,0.15944075876582448,0,Defensive,train
2024-02-15,-0.0003565507271054409,0.14119786176687305,0.13781710556652693,0,Defensive,train
2024-02-16,-0.00011032776448514407,0.14125005910261892,0.13975956017179333,2,Calm,train
2024-02-19,0.0010348377084693188,0.1266356070660081,0.12650551750460218,2,Calm,train
2024-02-20,0.0012440762264023057,0.12652715104114257,0.13203752725382195,2,Calm,train
2024-02-21,0.0009033855377048296,0.12474545109621199,0.11685777825031031,2,Calm,train
2024-02-22,0.0015351129512459684,0.10525445580849394,0.07254341378910803,2,Calm,train
2024-02-23,0.0016974305977186233,0.10830313446170176,0.08615024431935862,2,Calm,train
2024-02-26,0.0018274784326152607,0.10680304186936547,0.08209526563503945,2,Calm,train
2024-02-27,0.0010171716709467214,0.09624512724511097,0.08241804610121062,2,Calm,train
2024-02-28,0.0017184141059692882,0.08797058985047941,0.05440810300577065,2,Calm,train
2024-02-29,0.0011274736752829482,0.09316751383158815,0.08034521429289884,2,Calm,train
2024-03-01,0.001174174677143069,0.0930452332196194,0.08540364181027714,2,Calm,train
2024-03-04,0.001767535395806027,0.1093527609079207,0.1368138158391686,2,Calm,train
2024-03-05,0.0020782070775060483,0.10632214741793727,0.1270469038890726,2,Calm,train
2024-03-06,0.0013251638636703515,0.10454422188945611,0.14400372843119488,2,Calm,train
2024-03-07,0.0016383358360984907,0.10520713311065243,0.15360790196578317,2,Calm,train
