Regime,Strategy,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,VaR (95%),Observations,Drawdown Risk,VaR Risk,Overall Score,Return Score,Sharpe Score,Volatility Score,Drawdown Score,VaR Score
Calm,Maximum Sharpe,0.2482731568154674,0.17607707335103998,1.0408689406716842,-0.1649626586419659,-0.013785656509396697,205,0.1649626586419659,0.013785656509396697,0.55,1.0,1.0,0.0,0.0,0.0
Calm,Minimum Variance,-0.019250344076918155,0.1193975590980049,-0.7056286972145142,-0.09776552800956018,-0.012041476914798049,205,0.09776552800956018,0.012041476914798049,0.43813181765164555,0.0,0.0,1.0,1.0,0.8813181765164557
Calm,Risk Parity,0.00041926130488892133,0.12006881665621327,-0.5378643722293167,-0.1043742163094773,-0.011806598728592965,205,0.1043742163094773,0.011806598728592965,0.47462581550614735,0.07352477564099837,0.09605757336622803,0.9881569634628188,0.90165222476434,1.0
Defensive,Maximum Sharpe,0.36047653596257556,0.194525410550796,1.518961122487483,-0.11038183109968724,-0.016380937370169164,194,0.11038183109968724,0.016380937370169164,0.55,1.0,1.0,0.0,0.0,0.0
Defensive,Minimum Variance,-0.000806687678414596,0.11513806664882364,-0.5715458804699927,-0.09096290747436886,-0.011122283808196253,194,0.09096290747436886,0.011122283808196253,0.4294910179505068,0.0,0.0,1.0,0.897455089752534,1.0
Defensive,Risk Parity,0.04139767709504818,0.12409597533081751,-0.19019410453910598,-0.0887440646564962,-0.011983241305115707,194,0.0887440646564962,0.011983241305115707,0.497352659009127,0.11681794783640873,0.18242071200497384,0.8871620054066162,1.0,0.836277958459685
High Volatility,Maximum Sharpe,0.05247482630186796,0.26491577538355543,-0.04727983329795141,-0.07803563587652584,-0.01626932936740581,90,0.07803563587652584,0.01626932936740581,0.0,0.0,0.0,0.0,0.0,0.0
High Volatility,Minimum Variance,0.2527034657408358,0.13550594747205066,1.385204629335929,-0.046859292242802386,-0.01169267538368163,90,0.046859292242802386,0.01169267538368163,0.961933911657954,0.883045284798204,0.9880813048739713,1.0,1.0,1.0
High Volatility,Risk Parity,0.279222698563849,0.15274520817996598,1.4024839215345442,-0.05517414658534092,-0.012123328574007516,90,0.05517414658534092,0.012123328574007516,0.917267255737815,1.0,1.0,0.866785537187298,0.7332960388098765,0.9059021739774503
