Strategy,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,VaR (95%)
Maximum Sharpe,0.02217100115638848,0.04411780263063414,0.2434044729881923,-0.08579216771574642,-0.18896814773072224,-0.02704035006582811
Minimum Variance,-0.10901345349301084,-0.20327431264369755,0.16897209980303218,-1.5876840789480644,-0.17127516527496744,-0.018175352437004123
Risk Parity,-0.10236177454311102,-0.19152190012983816,0.17012614946308663,-1.5078334573457055,-0.1539275727072733,-0.019907868542821963
