Strategy,Expected Terminal Wealth,Median Terminal Wealth,5th Percentile Terminal Wealth,95th Percentile Terminal Wealth,Minimum Terminal Wealth,Maximum Terminal Wealth,Probability of Loss,Probability of Profit,Probability of Loss > 10%,Expected Maximum Drawdown,Median Maximum Drawdown,5th Percentile Maximum Drawdown,95th Percentile Maximum Drawdown
Max Sharpe,128.61324998719607,126.29874027292603,90.09859200673968,174.0595578351525,60.39850939784897,244.81970283636633,0.1272,0.8728,0.0493,-0.1478812700165744,-0.13795668992219512,-0.2723546971000758,-0.06720819990657383
Min Variance,102.03837230599805,101.20110728508294,82.44422055344072,124.29604601399372,65.51260711711605,161.91409926714695,0.4616,0.5384,0.1704,-0.1276590709780171,-0.11782321194020329,-0.2263437585070438,-0.0613832416296953
Risk Parity,106.43556159290439,105.56713819361798,84.92127463036132,130.8983233161797,65.79861412235812,174.63922925389275,0.3367,0.6633,0.1124,-0.12091003477481221,-0.11122697160842576,-0.21661900749892,-0.05874405923727428
