Strategy,Simulation,Terminal Wealth
Risk-Aware Regime Switching,133,112.27969811426364
Risk-Aware Regime Switching,134,113.22107882772808
Risk-Aware Regime Switching,135,109.74640823258697
Risk-Aware Regime Switching,136,108.69926195148676
Risk-Aware Regime Switching,137,70.34059940619404
Risk-Aware Regime Switching,138,109.2016362523988
Risk-Aware Regime Switching,139,74.94378978982606
Risk-Aware Regime Switching,140,114.87094241951607
Risk-Aware Regime Switching,141,70.5129084986947
Risk-Aware Regime Switching,142,100.7757943032549
Risk-Aware Regime Switching,143,90.52953304293665
Risk-Aware Regime Switching,144,75.48792370359887
Risk-Aware Regime Switching,145,74.71125901378888
Risk-Aware Regime Switching,146,74.18725847363234
Risk-Aware Regime Switching,147,85.91482211488679
Risk-Aware Regime Switching,148,130.90970277973503
Risk-Aware Regime Switching,149,73.09415584998001
Risk-Aware Regime Switching,150,94.37233814831416
Risk-Aware Regime Switching,151,104.31886524568779
Risk-Aware Regime Switching,152,83.00925774489131
Risk-Aware Regime Switching,153,76.02694022886442
Risk-Aware Regime Switching,154,112.03618960827735
Risk-Aware Regime Switching,155,77.57103854422063
Risk-Aware Regime Switching,156,83.6780755342524
Risk-Aware Regime Switching,157,85.37044496308724
Risk-Aware Regime Switching,158,86.20746317837283
Risk-Aware Regime Switching,159,99.44043276264904
Risk-Aware Regime Switching,160,101.23432738664111
Risk-Aware Regime Switching,161,148.96092720674358
Risk-Aware Regime Switching,162,122.5865004325931
Risk-Aware Regime Switching,163,96.6353269834822
Risk-Aware Regime Switching,164,155.69794925970328
Risk-Aware Regime Switching,165,77.92878395832192
Risk-Aware Regime Switching,166,82.38579665356471
Risk-Aware Regime Switching,167,127.09326340955158
Risk-Aware Regime Switching,168,136.26710912719497
Risk-Aware Regime Switching,169,87.26417426430712
Risk-Aware Regime Switching,170,162.73646937971404
Risk-Aware Regime Switching,171,121.93994152861171
Risk-Aware Regime Switching,172,107.24378295577009
Risk-Aware Regime Switching,173,111.65162627273497
Risk-Aware Regime Switching,174,87.73618016571702
Risk-Aware Regime Switching,175,131.96604430270168
Risk-Aware Regime Switching,176,98.05688147596986
Risk-Aware Regime Switching,177,87.48155551588782
Risk-Aware Regime Switching,178,89.91077496407482
Risk-Aware Regime Switching,179,103.46075882980695
Risk-Aware Regime Switching,180,93.52940022541803
Risk-Aware Regime Switching,181,75.820730768136
Risk-Aware Regime Switching,182,68.57499410138995
Risk-Aware Regime Switching,183,148.81883038009335
Risk-Aware Regime Switching,184,150.30720916147052
Risk-Aware Regime Switching,185,70.51563507095476
Risk-Aware Regime Switching,186,113.73208541133211
Risk-Aware Regime Switching,187,121.15784993274146
Risk-Aware Regime Switching,188,96.76029239370175
Risk-Aware Regime Switching,189,59.98805963889367
Risk-Aware Regime Switching,190,124.69442987779406
Risk-Aware Regime Switching,191,64.45729902312067
Risk-Aware Regime Switching,192,55.12634386133188
Risk-Aware Regime Switching,193,72.28551681708686
Risk-Aware Regime Switching,194,102.42157870806999
Risk-Aware Regime Switching,195,69.41619996847308
Risk-Aware Regime Switching,196,104.52828735274622
Risk-Aware Regime Switching,197,107.15703902681946
Risk-Aware Regime Switching,198,90.8027254808706
Risk-Aware Regime Switching,199,82.1749498016559
Risk-Aware Regime Switching,200,117.84158267722229
Risk-Aware Regime Switching,201,154.57068468520586
Risk-Aware Regime Switching,202,122.62506608576382
Risk-Aware Regime Switching,203,51.44855015731108
Risk-Aware Regime Switching,204,98.66420734840123
Risk-Aware Regime Switching,205,102.69127769641706
Risk-Aware Regime Switching,206,69.83989429008766
Risk-Aware Regime Switching,207,73.75042734668028
Risk-Aware Regime Switching,208,110.81345513383616
Risk-Aware Regime Switching,209,63.65328806893067
Risk-Aware Regime Switching,210,64.27853281998942
Risk-Aware Regime Switching,211,96.58070442258582
Risk-Aware Regime Switching,212,64.17348114748076
Risk-Aware Regime Switching,213,104.93929287253792
Risk-Aware Regime Switching,214,64.64241854991603
Risk-Aware Regime Switching,215,145.9209815888692
Risk-Aware Regime Switching,216,78.15814612855925
Risk-Aware Regime Switching,217,63.711772951333664
Risk-Aware Regime Switching,218,116.78206117351053
Risk-Aware Regime Switching,219,73.62387499376094
Risk-Aware Regime Switching,220,98.24405365934574
Risk-Aware Regime Switching,221,101.76223090287965
Risk-Aware Regime Switching,222,99.99818900959446
Risk-Aware Regime Switching,223,93.17072776424567
Risk-Aware Regime Switching,224,94.11360014347927
Risk-Aware Regime Switching,225,63.01531240741117
Risk-Aware Regime Switching,226,82.6437878047369
Risk-Aware Regime Switching,227,110.35207595105503
Risk-Aware Regime Switching,228,83.33916569723884
Risk-Aware Regime Switching,229,105.36486327874077
Risk-Aware Regime Switching,230,117.60087418047867
Risk-Aware Regime Switching,231,81.83836645999052
Risk-Aware Regime Switching,232,87.00321326870004
Risk-Aware Regime Switching,233,102.50503993255178
Risk-Aware Regime Switching,234,87.50531900650144
Risk-Aware Regime Switching,235,70.83219453290457
Risk-Aware Regime Switching,236,97.60366965749127
Risk-Aware Regime Switching,237,115.46532265791569
Risk-Aware Regime Switching,238,85.53868320435275
Risk-Aware Regime Switching,239,91.64360142718833
Risk-Aware Regime Switching,240,77.14000211258302
Risk-Aware Regime Switching,241,107.43030241903917
Risk-Aware Regime Switching,242,101.5949513012728
Risk-Aware Regime Switching,243,73.89935444358659
Risk-Aware Regime Switching,244,124.52072888850356
Risk-Aware Regime Switching,245,142.46504801568742
Risk-Aware Regime Switching,246,115.01199786853194
Risk-Aware Regime Switching,247,82.57404777499569
Risk-Aware Regime Switching,248,84.65247135883367
Risk-Aware Regime Switching,249,76.96950082700323
Risk-Aware Regime Switching,250,142.46353303899457
Risk-Aware Regime Switching,251,112.6738421891812
Risk-Aware Regime Switching,252,132.21870925350188
Risk-Aware Regime Switching,253,120.50087544302261
Risk-Aware Regime Switching,254,62.245005428820775
Risk-Aware Regime Switching,255,65.18710146338643
Risk-Aware Regime Switching,256,131.08272774683084
Risk-Aware Regime Switching,257,78.87194674842311
Risk-Aware Regime Switching,258,106.9982433856211
Risk-Aware Regime Switching,259,106.70043991956526
Risk-Aware Regime Switching,260,123.66175680658233
Risk-Aware Regime Switching,261,142.30546860149212
Risk-Aware Regime Switching,262,94.25984696861096
Risk-Aware Regime Switching,263,104.05278859588667
Risk-Aware Regime Switching,264,71.2894617192003
Risk-Aware Regime Switching,265,174.88385689961598
Risk-Aware Regime Switching,266,85.245301713532
Risk-Aware Regime Switching,267,104.41349736503453
Risk-Aware Regime Switching,268,80.38572978725337
Risk-Aware Regime Switching,269,100.49004899904513
Risk-Aware Regime Switching,270,85.45201917800155
