date,NIFTY50
2024-01-02,-0.003500136051024061
2024-01-03,-0.00685186637566948
2024-01-04,0.006564470186349425
2024-01-05,0.002410182228605562
2024-01-08,-0.00911070868564301
2024-01-09,0.0014804820050666745
2024-01-10,0.0034277152411805734
2024-01-11,0.0013183031833516878
2024-01-12,0.011426492637705898
2024-01-15,0.009267074694848665
2024-01-16,-0.0029482333845447517
2024-01-17,-0.020894393512082443
2024-01-18,-0.0050852715087356115
2024-01-19,0.00746195718645537
2024-01-23,-0.01774084294273448
2024-01-24,0.010129971071150878
2024-01-25,-0.004724053755400193
2024-01-29,0.018030591452244726
2024-01-30,-0.009913698102483215
2024-01-31,0.009460025419002926
2024-02-01,-0.0013003033741542103
2024-02-02,0.007205988175093214
2024-02-05,-0.0037568550808078083
2024-02-06,0.007243402101531293
2024-02-07,5.014315737827957e-05
2024-02-08,-0.009692017110872975
2024-02-09,0.0029722318898448563
2024-02-12,-0.0076414194307357075
2024-02-13,0.005884480011507653
2024-02-14,0.004451992284961959
2024-02-15,0.0032371361888359207
2024-02-16,0.005930843022260657
2024-02-19,0.0037000088082788096
2024-02-20,0.0033766555730090353
2024-02-21,-0.006392700010330099
2024-02-22,0.0073633218581414805
2024-02-23,-0.0002137959201901074
2024-02-26,-0.004080928508836235
2024-02-27,0.003448994348646428
2024-02-28,-0.011135927809948543
2024-02-29,0.0014418556686905948
2024-03-01,0.016192168700068565
2024-03-04,0.0029925402887358565
2024-03-05,-0.00220029050703785
2024-03-06,0.005266971542034149
2024-03-07,0.0008676673462120199
2024-03-11,-0.007153178801771132
2024-03-12,0.0001365188668460693
2024-03-13,-0.015132725270416536
2024-03-14,0.006771215952804832
2024-03-15,-0.005567468627318717
2024-03-18,0.0014688778023679294
2024-03-19,-0.010802196640288697
2024-03-20,0.0009923428906801757
2024-03-21,0.0079146856998078
2024-03-22,0.0038524885010076115
2024-03-26,-0.00416580634029895
2024-03-27,0.005405716783151604
2024-03-28,0.009187001078543977
2024-04-01,0.006050979178091831
2024-04-02,-0.0003872860275131451
2024-04-03,-0.0008306302403686683
2024-04-04,0.003565912488363576
2024-04-05,-4.224679746289706e-05
2024-04-08,0.006778164752814453
2024-04-09,-0.0010390218270411866
2024-04-10,0.0049044741142307835
2024-04-12,-0.010301592814249916
2024-04-15,-0.010963897188301042
2024-04-16,-0.005594325260972033
2024-04-18,-0.0068652458503182245
2024-04-19,0.0068717686886063944
2024-04-22,0.008551965982977361
2024-04-23,0.0014147135985376202
2024-04-24,0.0015379287654238016
2024-04-25,0.0074969296067168845
2024-04-26,-0.006663626980883297
2024-04-29,0.00996662256880243
2024-04-30,-0.00170251731563964
2024-05-02,0.0019177127972140884
2024-05-03,-0.007609859296553445
2024-05-06,-0.0014749338156797576
2024-05-07,-0.006246985595782073
2024-05-08,0.0
2024-05-09,-0.01546911781190452
2024-05-10,0.0044494691449390444
2024-05-13,0.0022149680905385605
2024-05-14,0.005148324587705533
2024-05-15,-0.0007786004689536163
2024-05-16,0.009157377676264788
2024-05-17,0.0027785403439750667
2024-05-21,0.002802051667603722
2024-05-22,0.0030516154749500313
2024-05-23,0.01636661960848307
2024-05-24,-0.0004593757337192361
2024-05-27,-0.0010737589261899938
2024-05-28,-0.0019317094176221072
2024-05-29,-0.008015115627261094
2024-05-30,-0.009515599658179275
2024-05-31,0.0018697799732139142
2024-06-03,0.03254231769535276
2024-06-04,-0.05929359941641077
2024-06-05,0.033624236760035675
2024-06-06,0.008888049244237806
2024-06-07,0.020539931466807104
2024-06-10,-0.0013289382574128705
2024-06-11,0.0002429314342191624
2024-06-12,0.002497312914139238
2024-06-13,0.0032564994745150067
2024-06-14,0.0028505279152657437
2024-06-18,0.003933450786960613
2024-06-19,-0.0017786131162043084
2024-06-20,0.0021687361796223215
2024-06-21,-0.00279629951309035
2024-06-24,0.00156375661610908
2024-06-25,0.007793879853915442
2024-06-26,0.006218040121837909
2024-06-27,0.007361040898544724
2024-06-28,-0.0014099020825968367
2024-07-01,0.005470484349075377
2024-07-02,-0.0007497161563467802
2024-07-03,0.006742306607722792
2024-07-04,0.0006444070008029268
2024-07-05,0.0008928929498506211
2024-07-08,-0.00013562113637344275
2024-07-09,0.004631820986013446
2024-07-10,-0.004450911197766749
2024-07-11,-0.0003494426502141934
2024-07-12,0.007657573644356042
2024-07-15,0.003450669707641296
2024-07-16,0.0010697158254551198
2024-07-18,0.007632129743428306
2024-07-19,-0.010884676251089243
2024-07-22,-0.0008825762723847497
2024-07-23,-0.0012321559717249908
2024-07-24,-0.002677831825905974
2024-07-25,-0.0003031269840456652
2024-07-26,0.01756732976027453
2024-07-29,5.03324972633834e-05
2024-07-30,0.0008536433743000504
2024-07-31,0.00377553501085659
2024-08-01,0.0023946791656728195
2024-08-02,-0.011722935491954689
2024-08-05,-0.02678645789462286
2024-08-06,-0.0026209626510589334
2024-08-07,0.012710162480444431
2024-08-08,-0.007428747813561065
2024-08-09,0.010386864037815746
2024-08-12,-0.0008412844977941925
2024-08-13,-0.008543146999630324
2024-08-14,0.00019677699987563635
2024-08-16,0.016459762490292462
2024-08-19,0.0012835584110202358
2024-08-20,0.005135759339910173
2024-08-21,0.0028887826964991703
2024-08-22,0.001667357653657442
2024-08-23,0.00046955607782672715
2024-08-26,0.007551387144671073
2024-08-27,0.0002858944102370753
2024-08-28,0.0013830024432652799
2024-08-29,0.00397565940632294
2024-08-30,0.003337760073577778
2024-09-02,0.001695950113232314
2024-09-03,4.550829989491412e-05
2024-09-04,-0.0032100820170585243
2024-09-05,-0.0021270784221717465
2024-09-06,-0.011650350298901935
2024-09-09,0.003390048695012693
2024-09-10,0.0041986500501236534
2024-09-11,-0.004897963449619458
2024-09-12,0.01887963282727112
2024-09-13,-0.0012761636040355961
2024-09-16,0.0010746751326089488
2024-09-17,0.0013709866056039743
2024-09-18,-0.0016129951842196455
2024-09-19,0.0015072376499098983
2024-09-20,0.014760441377741573
2024-09-23,0.005742385099666292
2024-09-24,5.2030021699067674e-05
2024-09-25,0.0024575565157058943
2024-09-26,0.008148714241454025
2024-09-27,-0.0014152231703233875
2024-09-30,-0.014060900852023384
2024-10-01,-0.0005404401234794243
2024-10-03,-0.021196375260987388
2024-10-04,-0.009326695880144675
2024-10-07,-0.008748875168602677
2024-10-08,0.00876764730346924
2024-10-09,-0.0012473907279866303
2024-10-10,0.0006604768849507447
2024-10-11,-0.0013680536120755926
2024-10-14,0.006557345754428789
2024-10-15,-0.0028096049048969007
2024-10-16,-0.0034340754096676696
2024-10-17,-0.008868227322834543
2024-10-18,0.004210173941240125
2024-10-21,-0.00293518237799828
2024-10-22,-0.012469180337869368
2024-10-23,-0.001495564743491773
2024-10-24,-0.0014773427748562273
2024-10-25,-0.008959220549493163
2024-10-28,0.0065485676346082045
2024-10-29,0.0052466588480091225
2024-10-30,-0.005149825253829232
2024-10-31,-0.005566773640794054
2024-11-01,0.004090004961616156
2024-11-04,-0.0127137736646451
2024-11-05,0.00908305881860727
2024-11-06,0.011181870759630508
2024-11-07,-0.011628025706147627
2024-11-08,-0.002113709312467793
2024-11-11,-0.00028567088740283353
2024-11-12,-0.010680930776533315
2024-11-13,-0.013582562322921432
2024-11-14,-0.0011185324376894457
2024-11-18,-0.0033527151631265184
