Strategy,Gross Total Return,Net Total Return,Gross Annualized Return,Net Annualized Return,Gross Volatility,Net Volatility,Gross Sharpe,Net Sharpe,Gross Maximum Drawdown,Net Maximum Drawdown,Gross VaR 95%,Net VaR 95%,Total Turnover,Transaction Cost
Max Sharpe,0.02217100115638848,0.021161984637154907,0.04411780263063414,0.04208961987286153,0.2434044729881923,0.243304567803576,-0.08579216771574642,-0.09416337857509696,-0.18896814773072224,-0.188968147730722,-0.02704035006582811,-0.02704035006582811,1.0,0.001
Min Variance,-0.10901345349301084,-0.1099026524049449,-0.20327431264369755,-0.20483896253603373,0.16897209980303218,0.1689443917713392,-1.5876840789480644,-1.5972058007184524,-0.17127516527496744,-0.171275165274967,-0.018175352437004123,-0.018175352437004123,1.0,0.001
Risk Parity,-0.10236177454311102,-0.10325606525108688,-0.19152190012983816,-0.19310689033030248,0.17012614946308663,0.17007910017341688,-1.5078334573457055,-1.5175697076661994,-0.1539275727072733,-0.15392757270727353,-0.019907868542821963,-0.019907868542821963,1.0,0.001
Risk-Aware Regime Switching,-0.020082281149267134,-0.030864265735591312,-0.0391523197955167,-0.059855313978894986,0.23476794147458063,0.23526346061486175,-0.4436394472828554,-0.5307042311312826,-0.21074003338028735,-0.21235065630782357,-0.027040350065828105,-0.027040350065828105,11.0,0.011
