Strategy,Simulation,Maximum Drawdown
Risk-Aware Regime Switching,123,-0.34003487257287657
Risk-Aware Regime Switching,124,-0.24130581578040822
Risk-Aware Regime Switching,125,-0.23160075703748906
Risk-Aware Regime Switching,126,-0.2688079685108119
Risk-Aware Regime Switching,127,-0.38270477708473116
Risk-Aware Regime Switching,128,-0.2101142089993614
Risk-Aware Regime Switching,129,-0.2776303517277503
Risk-Aware Regime Switching,130,-0.20010030091934872
Risk-Aware Regime Switching,131,-0.1352393291365852
Risk-Aware Regime Switching,132,-0.22397357119099348
Risk-Aware Regime Switching,133,-0.21701609252009624
Risk-Aware Regime Switching,134,-0.1294387855425685
Risk-Aware Regime Switching,135,-0.1614814729442442
Risk-Aware Regime Switching,136,-0.1632521934709259
Risk-Aware Regime Switching,137,-0.40555690146483736
Risk-Aware Regime Switching,138,-0.1943224779755114
Risk-Aware Regime Switching,139,-0.43987385655546707
Risk-Aware Regime Switching,140,-0.22263772195467058
Risk-Aware Regime Switching,141,-0.40213765983401706
Risk-Aware Regime Switching,142,-0.22119805913682866
Risk-Aware Regime Switching,143,-0.3153311048935612
Risk-Aware Regime Switching,144,-0.2659590975858833
Risk-Aware Regime Switching,145,-0.3225836202180836
Risk-Aware Regime Switching,146,-0.2849044533513413
Risk-Aware Regime Switching,147,-0.2503689934620741
Risk-Aware Regime Switching,148,-0.19784959290893267
Risk-Aware Regime Switching,149,-0.285347949161894
Risk-Aware Regime Switching,150,-0.21554869534989385
Risk-Aware Regime Switching,151,-0.18159759877613268
Risk-Aware Regime Switching,152,-0.28053013296296103
Risk-Aware Regime Switching,153,-0.37406601050177546
Risk-Aware Regime Switching,154,-0.24417023913392466
Risk-Aware Regime Switching,155,-0.31718060247094004
Risk-Aware Regime Switching,156,-0.20619354905409482
Risk-Aware Regime Switching,157,-0.27378507007295727
Risk-Aware Regime Switching,158,-0.28247676161405855
Risk-Aware Regime Switching,159,-0.1800950346349871
Risk-Aware Regime Switching,160,-0.2970577314132874
Risk-Aware Regime Switching,161,-0.22407757994003408
Risk-Aware Regime Switching,162,-0.20594569491395076
Risk-Aware Regime Switching,163,-0.22975059357623306
Risk-Aware Regime Switching,164,-0.08237554150282622
Risk-Aware Regime Switching,165,-0.2629646211340364
Risk-Aware Regime Switching,166,-0.23826428305852332
Risk-Aware Regime Switching,167,-0.1449976401023162
Risk-Aware Regime Switching,168,-0.20925088944976744
Risk-Aware Regime Switching,169,-0.2481175441445036
Risk-Aware Regime Switching,170,-0.09760964399943706
Risk-Aware Regime Switching,171,-0.3368732685313811
Risk-Aware Regime Switching,172,-0.21893308394184774
Risk-Aware Regime Switching,173,-0.16512543968914806
Risk-Aware Regime Switching,174,-0.2831724842919531
Risk-Aware Regime Switching,175,-0.08891726211535234
Risk-Aware Regime Switching,176,-0.2516415201301536
Risk-Aware Regime Switching,177,-0.2738891576369902
Risk-Aware Regime Switching,178,-0.29632175811804906
Risk-Aware Regime Switching,179,-0.18841774341328354
Risk-Aware Regime Switching,180,-0.23707974818743038
Risk-Aware Regime Switching,181,-0.28297595241430307
Risk-Aware Regime Switching,182,-0.38292405506715355
Risk-Aware Regime Switching,183,-0.1043130257647551
Risk-Aware Regime Switching,184,-0.11876542035624582
Risk-Aware Regime Switching,185,-0.3092626307068608
Risk-Aware Regime Switching,186,-0.20203079626803178
Risk-Aware Regime Switching,187,-0.11264491885338124
Risk-Aware Regime Switching,188,-0.28931353605736554
Risk-Aware Regime Switching,189,-0.43363202986379656
Risk-Aware Regime Switching,190,-0.1771224473925046
Risk-Aware Regime Switching,191,-0.4309008003532928
Risk-Aware Regime Switching,192,-0.4994993193103128
Risk-Aware Regime Switching,193,-0.36663437067436067
Risk-Aware Regime Switching,194,-0.2545892867402615
Risk-Aware Regime Switching,195,-0.37748204355070025
Risk-Aware Regime Switching,196,-0.2687443369057717
Risk-Aware Regime Switching,197,-0.18417145183039518
Risk-Aware Regime Switching,198,-0.272646929437216
Risk-Aware Regime Switching,199,-0.3310272136813045
Risk-Aware Regime Switching,200,-0.13516905805842983
Risk-Aware Regime Switching,201,-0.16267259050093652
Risk-Aware Regime Switching,202,-0.2025571539637766
Risk-Aware Regime Switching,203,-0.49599405918939987
Risk-Aware Regime Switching,204,-0.24022123368181003
Risk-Aware Regime Switching,205,-0.21170107458015142
Risk-Aware Regime Switching,206,-0.4077586346380908
Risk-Aware Regime Switching,207,-0.3724664894986306
Risk-Aware Regime Switching,208,-0.16725103125266827
Risk-Aware Regime Switching,209,-0.4480284587905933
Risk-Aware Regime Switching,210,-0.40826822894960657
Risk-Aware Regime Switching,211,-0.19900581826271646
Risk-Aware Regime Switching,212,-0.43774693027268463
Risk-Aware Regime Switching,213,-0.27206446865173783
Risk-Aware Regime Switching,214,-0.38349183935951114
Risk-Aware Regime Switching,215,-0.11434709212392447
Risk-Aware Regime Switching,216,-0.319076751669905
Risk-Aware Regime Switching,217,-0.4894873877743683
Risk-Aware Regime Switching,218,-0.10627031160190314
Risk-Aware Regime Switching,219,-0.30132351925759593
Risk-Aware Regime Switching,220,-0.27330577485507146
Risk-Aware Regime Switching,221,-0.24902413653829936
Risk-Aware Regime Switching,222,-0.18651797931208047
Risk-Aware Regime Switching,223,-0.22997269517107333
Risk-Aware Regime Switching,224,-0.2391211622533923
Risk-Aware Regime Switching,225,-0.395088394895438
Risk-Aware Regime Switching,226,-0.3488770903291556
Risk-Aware Regime Switching,227,-0.21124983362568528
Risk-Aware Regime Switching,228,-0.3102632315744408
Risk-Aware Regime Switching,229,-0.19790687800188067
Risk-Aware Regime Switching,230,-0.13452976943094186
Risk-Aware Regime Switching,231,-0.2268926190845646
Risk-Aware Regime Switching,232,-0.19234357966585558
Risk-Aware Regime Switching,233,-0.23596308916162334
Risk-Aware Regime Switching,234,-0.24762007521505525
Risk-Aware Regime Switching,235,-0.4185377702848564
Risk-Aware Regime Switching,236,-0.14072167721469953
Risk-Aware Regime Switching,237,-0.17593722152892777
Risk-Aware Regime Switching,238,-0.3494952820988302
Risk-Aware Regime Switching,239,-0.17911711315305334
Risk-Aware Regime Switching,240,-0.29866188540117644
Risk-Aware Regime Switching,241,-0.19410630207170987
Risk-Aware Regime Switching,242,-0.20800594677853745
Risk-Aware Regime Switching,243,-0.36145069462730484
Risk-Aware Regime Switching,244,-0.1754643191814116
Risk-Aware Regime Switching,245,-0.10768175887128695
Risk-Aware Regime Switching,246,-0.22411658944388024
Risk-Aware Regime Switching,247,-0.24551680792315322
