Risk,Return
0.23561816171087355,-0.1198431270534161
0.15617954886500163,-0.11626848407325839
0.15290850828329589,-0.1126938406545725
0.14999564211652003,-0.10911919726914796
0.14746211078452667,-0.10554455386258674
0.14532781178778537,-0.1019699104624344
0.1436067405157226,-0.09839526707011839
0.142144276802127,-0.09482062367210749
0.14085525810829486,-0.0912459802742551
0.13974084458101976,-0.08767133687726451
0.13880584640736096,-0.08409669347906755
0.138020865772094,-0.08052205008223517
0.13728486937125842,-0.07694740668262981
0.13659127386642342,-0.07337276328412817
0.13594040317013503,-0.06979811988634946
0.1353326801340253,-0.06622347648921648
0.1347686269826703,-0.06264883309271141
0.13424887507595779,-0.05907418969339428
0.13377454665992747,-0.05549954629514617
0.13334476601903522,-0.05192490289810578
0.13296073982516238,-0.04835025950103558
0.13262291067946186,-0.0447756161022847
0.13233203145248876,-0.0412009727048674
0.13208752014431316,-0.03762632930649949
0.13188281091930323,-0.034051685909389215
0.13171154417436887,-0.030477042510822908
0.13157521626640903,-0.026902399112432696
0.13147333596086228,-0.023327755715114553
0.13140598389968083,-0.019753112316991433
0.13137321510866454,-0.01617846891891959
0.13137505809361902,-0.01260382552122442
0.13141151421918482,-0.009029182123442902
0.13148255774233714,-0.005454538725453132
0.1315881360032621,-0.0018798953278630851
0.1317281651600956,0.001694748070321406
0.13190248096302548,0.005269391468010946
0.13211093701296278,0.008844034866023658
0.13235380906924324,0.012418678262889409
0.132630312816911,0.015993321662341915
0.13294062592038733,0.01956796505868657
0.13328375577384174,0.02314260845642803
0.13366038220306556,0.026717251857772628
0.13407080412315334,0.030291895256157067
0.13451166376769902,0.03386653865095558
0.13498609177837234,0.0374411820493489
0.13549226185332694,0.04101582544747388
0.13603001581653,0.04459046884505827
0.13659963863920413,0.04816511224295564
0.13720001908785118,0.05173975564140415
0.13782987514454592,0.0553143990366406
0.13848972911304736,0.05888904243484848
0.13917917954748413,0.0624636858323409
0.13989781547385952,0.0660383292290948
0.140645211529998,0.06961297262717796
0.1414209254941182,0.07318761602787889
0.14222449784584593,0.0767622594282444
0.1430554523482209,0.08033690282505741
0.14391329863054494,0.08391154623444512
0.14479753736621565,0.08748618962512489
0.14570760264536844,0.09106083301829503
0.1466469026840069,0.09463547641628031
0.1476170564217438,0.09821011981458369
0.14861643406201205,0.10178476321328178
0.14964447625256924,0.10535940660866708
0.1507006071759504,0.10893405000523013
0.1517841711950945,0.11250869340702438
0.15289420126262743,0.11608333680245274
0.15403305550798177,0.1196579802046685
0.15520053756199667,0.12323262359849407
0.15639575297839675,0.1268072669976687
0.15761893689167028,0.13038191039087213
0.15886899433911925,0.1339565537925679
0.16014535372757524,0.13753119718722198
0.16144734861159352,0.14110584058464642
0.162774352958458,0.14468048398265504
0.16412574067952426,0.14825512738882518
0.16550079150579272,0.15182977078442786
0.1668996189701795,0.15540441416652823
0.16832015681519905,0.15897905757709493
0.16976327325992396,0.16255370097430555
0.17123571203282412,0.16612834437112423
0.1727573417126313,0.16970298777769793
0.1743268520916585,0.17327763116236541
0.17594355864719685,0.17685227457950697
0.17760585604298945,0.18042691795772342
0.17931273842608197,0.18400156136636742
0.18106228048352796,0.1875762047623621
0.18286467352990202,0.1911508481600308
0.1847618732981008,0.19472549157366578
0.18730279181359438,0.19830013496887178
0.19067177430711915,0.20187477834604067
0.19482586824817108,0.20544942176636422
0.19971608937062732,0.20902406566828732
0.20528983711882762,0.21259870906233905
0.21149307743235776,0.21617335245639083
0.21827214683990195,0.2197479958504426
0.22557513621218642,0.2233226392444944
0.23335286108155834,0.2268972826385461
0.24155946923999516,0.2304719260325979
0.2501527527009426,0.23404656893235268
