date,HDFCBANK,ICICIBANK,INFY,ITC,LT,RELIANCE,SBIN,TCS
2024-01-02,0.0005888843352037654,-0.017160286488529297,-0.010925940125233291,0.004914077702315556,-0.024776928189290115,0.008281024461512132,-0.0029622900873815805,-0.0073207455167846325
2024-01-03,-0.01541992926592517,0.0018324896659962508,-0.028936468726782905,0.014669916115863657,0.0006544316922332261,-0.010874019967349269,0.006255316318426907,-0.024172637444404788
2024-01-04,0.010729871622110254,0.0031502903200690824,0.01523501637428648,-0.0017810699411892061,0.005333789357307328,0.00516761314101033,-0.0010880030511759564,-0.006758284744133425
2024-01-05,-0.005115721031214604,0.006635229597709014,0.013122209944325558,-0.005142735347122285,0.018272736837075643,0.004255531729745909,-0.001244600181842137,0.019390030944197223
2024-01-08,-0.011146172198728266,-0.011774153946308985,-0.006361816241318263,-0.017828789668021705,-0.005905896155175561,-0.00780367992130282,-0.023288459644550286,-0.015944552569716164
2024-01-09,-0.0077850730639016374,-0.002291274206203231,0.004268423374711006,-0.0020409525585841637,0.015666413887836628,-0.0026475651835438097,-0.0025517281004509007,0.003153453063061251
2024-01-10,0.0033020713660183443,0.01357489069766693,-0.006146580745211905,-0.002690762658783763,-0.0029386714107801915,0.026971545945415842,-0.005836401657126733,0.006274047795449267
2024-01-11,-0.004196937011994306,-0.0019132616009639447,-0.016909131870712968,-0.0014029593678964725,-0.011465236484029973,0.026300947772074146,-0.002492840468886204,0.006059658496296638
2024-01-12,-0.004730127823385888,0.012460258785127465,0.07934008248304081,0.008753956890260817,0.018246216631722767,0.007960075435434977,0.021605891113898545,0.03941865848016546
2024-01-15,0.019254184457035306,0.006327816893898719,0.024399380900565593,0.001928518433901294,-0.007215346398113609,0.017071106552575044,0.010258856604355104,0.00540833165449639
2024-01-16,0.003796093584898408,-0.0007921464773746889,-0.012438734593798406,0.010051116288872786,0.008594291418824396,-0.013987131296874233,-0.004999212171522105,-0.01088672446750294
2024-01-17,-0.08435831477426414,-0.027055157921658135,0.005301683498239118,-0.01206842974838307,-0.0007136380734228398,-0.009493519580024645,-0.01711412991839989,0.006034153638930784
2024-01-18,-0.0333981573979365,0.004685449326059743,0.0014632946362607147,-0.002357464599741732,0.007014926452757475,0.004682012239050959,0.0036740327481832313,0.004633712703072668
2024-01-19,-0.010429727773682673,0.013027885990588572,0.010105842118161679,0.012889193583150993,0.013904364101888556,-0.00036549294992371806,-0.000875348039057311,0.017403769239905387
2024-01-23,-0.029442808304260493,0.029873942066992454,-0.010276016608322891,-0.025874809215103767,-0.026055917148102847,-0.02842879948539434,-0.03608127562500185,-0.021506209806220755
2024-01-24,0.02000204174465736,-0.029007377356333963,0.020247876652620622,0.009362140554800336,0.010757425952343969,0.01151617895516277,0.021814574994251323,-0.004263614958794459
2024-01-25,-0.01442393235318018,0.01075863233599561,-0.0037603374491927966,-0.01714847963470878,0.0011841709297775171,0.006845748689584319,-0.008976249560146199,-0.008199185322968705
2024-01-29,0.013763988567043084,0.006386420582392027,-0.007489064328051631,-0.012838859481745346,0.03187743294732792,0.07019202245224365,0.016646338122189297,-0.0024408405153205637
2024-01-30,-0.007115143203792473,0.0004920001904280547,-0.0031087929608976106,-0.026122655846818166,-0.02014561900249867,-0.027916800826681687,0.006099987068408197,-0.00011823993367399144
2024-01-31,0.012635859431304741,0.011063004900928153,0.005722347514822923,0.007989964313283915,-0.04226180677423863,0.013497792627487293,0.021938540375563864,0.004051837099715794
2024-02-01,0.002598231236304205,-0.0029178423352682614,-0.0023179615783353036,0.0030574250958630422,-0.023493107043997208,1.757932671186957e-05,0.011163274881268226,0.010010602684391134
2024-02-02,-0.013775765877706458,-0.0011218631145459845,0.02190624290791221,-0.006322023850377723,-0.0064596983078006875,0.021764296027886765,0.003088108305293824,0.029098719678637197
2024-02-05,-0.0008989070306042457,-0.0004882274719582025,-0.0036318476144703293,-0.004657999481358588,-0.010159798077235216,-0.012811219482966152,-0.010313324111616118,0.0017648331706228149
2024-02-06,-0.0005191652169186378,0.002833393469781731,0.025041477103037613,-0.015180875380889525,0.02468773179409789,-0.007800462687801102,0.011353881707854452,0.04094826478129798
2024-02-07,-0.009798462970622035,-0.004140683012942903,-0.020642373816693427,0.0009270804917507203,-0.008629686390694613,0.01005047344215071,0.03844671398347321,-0.012717670687110383
2024-02-08,-0.018811680903324413,-0.03213816202134512,-0.0009741451125850897,-0.025297489781630156,-0.01743894029089399,0.005529874015297365,0.03598671589209279,0.0124162932288443
2024-02-09,0.000391887982368333,0.02163150688762605,-0.013444818985857365,0.0022916420280796324,-0.0032828133596962683,0.007326965683905007,0.03673797615147678,-9.68404596745076e-05
2024-02-12,-0.009689274550093496,-0.014445511481588236,0.006439649482471443,-0.02081833113525844,-0.0075199035304019946,-0.005750482688546277,-0.02392277193428005,-0.00314482786240855
2024-02-13,0.0032013155613928035,0.023792812414444864,0.002648627761835387,-0.0002457410620834155,0.00665243914534841,0.00877883789938716,0.007840110862566974,0.006989006183562907
2024-02-14,-0.007458058818447411,0.0028437344557410427,-0.010893091317759063,0.0118008810109973,-0.0037633291495074994,0.011108443676987934,0.04197911030456547,-0.011905022220056849
2024-02-15,0.02167554892818302,-0.005915734823433438,0.006091768139160569,-0.01858828520745981,-0.0026291393920579997,-0.007273645854000144,0.02461660815477007,0.0007561063596084328
2024-02-16,0.004137042787938361,0.0064919390023414625,0.015092246373834106,0.0017331847482169316,0.026194515992672196,-0.006816925896236836,-0.009190031152647937,0.006117150937613447
2024-02-19,-0.001972010983429584,0.020034179751737602,-0.001116591661557531,0.011492710844890786,-0.013848068145030035,0.009191657235465334,0.006028810989290756,-0.005934719054383142
2024-02-20,0.026250854069011842,0.004790366915550015,-0.008530620426044688,-0.007696945540537792,0.005060059343009904,-0.0020183338909782744,0.0011195801582895015,-0.01782498454886572
2024-02-21,-0.010417518612636179,0.003051175781015658,-0.01762352280555257,-0.006771782254376024,-0.017978714876269897,-0.0022603421318484473,0.014998144881058773,-0.009712947940223482
2024-02-22,-0.013618992942338704,0.01021926030695175,0.015583826617147079,0.027519594373142775,0.020431405581377904,0.009572788452789194,-0.007258618664694794,0.0239508062499576
2024-02-23,0.000739641516340539,-0.0013173006299996848,-0.0026763604208435154,-0.00735905405559556,0.007194293949287056,0.008014184592298523,-0.0089438322922899,-0.008563551440574413
2024-02-26,0.001196676765356175,-0.006690117793396233,-0.009959149263848666,-0.005347701464718968,0.024262474140664736,-0.004217955695542952,-0.0001975700832537175,-0.012598300126148598
2024-02-27,-0.0015115587546311593,0.005691599347655174,0.0020781237283511445,0.004765329168687327,0.010460704156595835,-0.001126091609882418,-0.011925247873345368,0.02583066692465419
2024-02-28,-0.007569683956605844,-0.013205122518853751,0.0045985404075250536,-0.006931778401817468,-0.010338178223469718,-0.020210008325691198,-0.009801859730306228,0.003545161328272206
2024-02-29,-0.004257154760713755,0.00573512135663834,0.0015856713518185295,-0.004898310588450694,0.002118141262027695,0.0035552197626391724,0.007542120916094852,-0.005790446735497001
2024-03-01,0.019488318100628454,0.03297850839573635,-0.01147028063558142,0.007875909901686962,0.04484480108551914,0.02144366808541376,0.02813789229845476,-0.00018308647648523912
2024-03-04,0.0013629182346182045,0.005014216421096451,-0.010576060433899137,-0.000976859721387613,0.0030135056985156616,0.01023701342599459,0.0037703124135932686,-0.0033340670661136107
2024-03-05,0.005688507477972893,-0.003936295080380736,-0.018751370888719365,-0.007210817853189999,-0.008739209912172363,-0.004776469739736444,0.015413673229426328,-0.016810685876451847
2024-03-06,0.0012146305649112232,0.008317519164583231,0.006878342390394643,0.004185659995247448,0.008193575298986122,0.0018664767112457348,-6.37923342494684e-05,0.013010494836694919
2024-03-07,0.0024262256836158347,-0.008340172460218565,-0.0006801873209348885,0.01397564259131756,0.009540905011304224,-0.01601793214046021,0.005294032775402524,0.010899956818992695
2024-03-11,-0.012654776329993234,-0.008502347254541798,-0.009805428747403533,-0.010034935343871343,-0.009885873936163803,-0.008333811572690752,-0.018209548670315656,0.003346653998194782
2024-03-12,0.022237020056631085,-0.0017149363943778084,0.007715887442089953,-0.012090937963801895,-0.005205246094515559,0.006017321374223394,-0.01809482415528585,0.016956320298034955
2024-03-13,0.0005824146414918907,0.006593281247659677,-0.0009609403730790333,0.04450487285602267,-0.022945299386768148,-0.029313565099640226,-0.016388102461226906,-0.010316799490479034
