date,HDFCBANK,ICICIBANK,INFY,ITC,LT,RELIANCE,SBIN,TCS
2024-01-01,812.9945678710938,983.28271484375,1429.635986328125,401.7525329589844,3432.108642578125,1279.69287109375,607.4072265625,3482.784912109375
2024-01-02,813.4733276367188,966.4093017578124,1414.015869140625,403.7267761230469,3347.071533203125,1290.2900390625,605.60791015625,3457.288330078125
2024-01-03,800.9296264648438,968.1802368164062,1373.0992431640625,409.6494140625,3349.261962890625,1276.2593994140625,609.3961791992188,3373.716552734375
2024-01-04,809.5234985351562,971.2302856445312,1394.0184326171875,408.9197998046875,3367.126220703125,1282.8546142578125,608.733154296875,3350.916015625
2024-01-05,805.3822021484375,977.6746215820312,1412.31103515625,406.81683349609375,3428.65283203125,1288.3138427734375,607.9755249023438,3415.890380859375
2024-01-08,796.4052734375,966.163330078125,1403.326171875,399.5637817382813,3408.403564453125,1278.26025390625,593.8167114257812,3361.425537109375
2024-01-09,790.2052001953125,963.9495849609376,1409.316162109375,398.748291015625,3461.801025390625,1274.8759765625,592.3014526367188,3372.025634765625
2024-01-10,792.8145141601562,977.0350952148438,1400.6536865234375,397.6753540039063,3451.6279296875,1309.2613525390625,588.8445434570312,3393.181884765625
2024-01-11,789.4871215820312,975.165771484375,1376.9698486328125,397.117431640625,3412.05419921875,1343.6961669921875,587.3766479492188,3413.743408203125
2024-01-12,785.7527465820312,987.3165893554688,1486.21875,400.5937805175781,3474.311279296875,1354.39208984375,600.0674438476562,3548.30859375
2024-01-15,800.8817749023438,993.5641479492188,1522.4815673828125,401.3663330078125,3449.242919921875,1377.5130615234375,606.2234497070312,3567.4990234375
2024-01-16,803.9219970703125,992.777099609375,1503.5438232421875,405.4005126953125,3478.88671875,1358.24560546875,603.1928100585938,3528.66064453125
2024-01-17,736.1044921875,965.9173583984376,1511.51513671875,400.5079650878906,3476.404052734375,1345.35107421875,592.8696899414062,3549.953125
2024-01-18,711.5199584960938,970.443115234375,1513.7269287109375,399.5637817382813,3500.790771484375,1351.6500244140625,595.0479125976562,3566.402587890625
2024-01-19,704.0989990234375,983.0859375,1529.0244140625,404.7138366699219,3549.467041015625,1351.156005859375,594.5270385742188,3628.471435546875
2024-01-23,683.3683471679688,1012.45458984375,1513.3121337890625,394.241943359375,3456.982421875,1312.7442626953125,573.0757446289062,3550.436767578125
2024-01-24,697.037109375,983.0859375,1543.9534912109375,397.9328918457031,3494.170654296875,1327.862060546875,585.5771484375,3535.299072265625
2024-01-25,686.9830932617188,993.66259765625,1538.147705078125,391.1089477539063,3498.308349609375,1336.9522705078125,580.3208618164062,3506.3125
